class	org	drug	mic.s	mic.r
·ÎÁ´	spn	PEN_NM	0.064	2
·ÎÁ´	spn	"PEN_meningitis_NM, PEN_MENINGITIS_NM"	0.064	0.125
·ÎÁ´	spn	"PEN_nonmeningitis_NM, PEN_NONMENINGITIS_NM"	2	8
·ÎÁ´	spn	"AMC_NM, LVX_NM"	2	8
·ÎÁ´	spn	"CRO_NM, CXM_NM, CEC_NM, MFX_NM, TCY_NM"	1	4
·ÎÁ´	spn	VAN_NM	1	0
·ÎÁ´	spn	"ERY_NM, CLI_NM, CLR_NM"	0.25	1
·ÎÁ´	spn	AZM_NM	0.5	2
·ÎÁ´	spn	SXT_NM	0.5	4
·ÎÁ´	spn	CHL_NM	4	8
·ÎÁ´	spn	LNZ_NM	2	0
Á÷¸Ð	hin	AMP_NM	1	4
Á÷¸Ð	hin	AMC_NM	4	8
Á÷¸Ð	hin	"CEC_NM, CLA_NM, CLR_NM"	8	32
Á÷¸Ð	hin	CXM_NM	4	16
Á÷¸Ð	hin	"TCY_NM, CHL_NM"	2	8
Á÷¸Ð	hin	SXT_NM	0.5	4
Á÷¸Ð	hin	"CRO_NM, LVX_NM"	2	0
Á÷¸Ð	hin	MFX_NM	1	0
Á÷¸Ð	hin	AZM_NM	4	0
¿¨Ëû	"bca, mos"	AMC_NM	4	8
¿¨Ëû	"bca, mos"	CXM_NM	4	16
¿¨Ëû	"bca, mos"	"TCY_NM, CHL_NM"	2	8
¿¨Ëû	"bca, mos"	"CLI_NM, SXT_NM"	0.5	4
¿¨Ëû	"bca, mos"	"CRO_NM, LVX_NM"	2	0
¿¨Ëû	"bca, mos"	"CLA_NM, CIP_NM, CLR_NM"	1	0
¿¨Ëû	"bca, mos"	AZM_NM	0.25	0
½ðÆÏÂ½µË	"sau, slu"	"FOX_NM, LNZ_NM"	4	8
½ðÆÏÂ½µË	"sau, slu"	PEN_NM	0.125	0.25
½ðÆÏÂ½µË	"sau, slu"	"OXA_NM, SXT_NM"	2	4
½ðÆÏÂ½µË	"sau, slu"	VAN_NM	2	16
½ðÆÏÂ½µË	"sau, slu"	DAP_NM	1	0
½ðÆÏÂ½µË	"sau, slu"	"TEC_NM, CHL_NM"	8	32
½ðÆÏÂ½µË	"sau, slu"	"GEN_NM, TCY_NM, MNO_NM, MIN_NM"	4	16
½ðÆÏÂ½µË	"sau, slu"	AMK_NM	16	64
½ðÆÏÂ½µË	"sau, slu"	"CLA_NM, AZM_NM, CLR_NM"	2	8
½ðÆÏÂ½µË	"sau, slu"	ERY_NM	0.5	8
½ðÆÏÂ½µË	"sau, slu"	"LVX_NM, CIP_NM, RIF_NM"	1	4
½ðÆÏÂ½µË	"sau, slu"	MFX_NM	0.5	2
½ðÆÏÂ½µË	"sau, slu"	CLI_NM	0.5	4
CoNS	"sep, sae, sai, sap, sc+, sca, scg, scl, scn, scp, scu, sde, seq, sfe, sgl, shl, sho, shy, sit, skl, slc, sle, sms, snb, sps, spv, ssb, ssf, ssi, ssr, sta, stc, stt, sul, sur, swa, sxy, CoNS"	PEN_NM	0.125	0.25
CoNS	"sep, sae, sai, sap, sc+, sca, scg, scl, scn, scp, scu, sde, seq, sfe, sgl, shl, sho, shy, sit, skl, slc, sle, sms, snb, sps, spv, ssb, ssf, ssi, ssr, sta, stc, stt, sul, sur, swa, sxy, CoNS"	OXA_NM	0.25	0.5
CoNS	"sep, sae, sai, sap, sc+, sca, scg, scl, scn, scp, scu, sde, seq, sfe, sgl, shl, sho, shy, sit, skl, slc, sle, sms, snb, sps, spv, ssb, ssf, ssi, ssr, sta, stc, stt, sul, sur, swa, sxy, CoNS"	VAN_NM	4	32
