#M100-S27
#
class,org,drug,mic.s,mic.r
肺链,spn,PEN_NM,0.064,2
肺链,spn,PEN_meningitis_NM_PEN_MENINGITIS_NM,0.064,0.125
肺链,spn,PEN_nonmeningitis_NM_PEN_NONMENINGITIS_NM,2,8
肺链,spn,AMC_NM_LVX_NM,2,8
肺链,spn,CRO_NM_CXM_NM_CEC_NM_MFX_NM_TCY_NM,1,4
肺链,spn,VAN_NM,1,0
肺链,spn,ERY_NM_CLI_NM_CLR_NM,0.25,1
肺链,spn,AZM_NM,0.5,2
肺链,spn,SXT_NM,0.5,4
肺链,spn,CHL_NM,4,8
肺链,spn,LNZ_NM,2,0
流感,hin,AMP_NM,1,4
流感,hin,AMC_NM,4,8
流感,hin,CEC_NM_CLA_NM_CLR_NM,8,32
流感,hin,CXM_NM,4,16
流感,hin,TCY_NM_CHL_NM,2,8
流感,hin,SXT_NM,0.5,4
流感,hin,CRO_NM_LVX_NM,2,0
流感,hin,MFX_NM,1,0
流感,hin,AZM_NM,4,0
卡他,bca_mos,AMC_NM,4,8
卡他,bca_mos,CXM_NM,4,16
卡他,bca_mos,TCY_NM_CHL_NM,2,8
卡他,bca_mos,CLI_NM_SXT_NM,0.5,4
卡他,bca_mos,CRO_NM_LVX_NM,2,0
卡他,bca_mos,CLA_NM_CIP_NM_CLR_NM,1,0
卡他,bca_mos,AZM_NM,0.25,0
金葡陆邓,sau_slu,FOX_NM_LNZ_NM,4,8
金葡陆邓,sau_slu,PEN_NM,0.125,0.25
金葡陆邓,sau_slu,OXA_NM_SXT_NM,2,4
金葡陆邓,sau_slu,VAN_NM,2,16
金葡陆邓,sau_slu,DAP_NM,1,0
金葡陆邓,sau_slu,TEC_NM_CHL_NM,8,32
金葡陆邓,sau_slu,GEN_NM_TCY_NM_MNO_NM_MIN_NM,4,16
金葡陆邓,sau_slu,AMK_NM,16,64
金葡陆邓,sau_slu,CLA_NM_AZM_NM_CLR_NM,2,8
金葡陆邓,sau_slu,ERY_NM,0.5,8
金葡陆邓,sau_slu,LVX_NM_CIP_NM_RIF_NM,1,4
金葡陆邓,sau_slu,MFX_NM,0.5,2
金葡陆邓,sau_slu,CLI_NM,0.5,4
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,PEN_NM,0.125,0.25
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,OXA_NM,0.25,0.5
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,VAN_NM,4,32
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,DAP_NM,1,0
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,TEC_NM_CHL_NM,8,32
