# M100-S27
#
#
#
#
class,org,drug,mic.s,mic.r
·ÎÁ´,spn,PEN_NM,0.064,2
·ÎÁ´,spn,PEN_meningitis_NM_PEN_MENINGITIS_NM,0.064,0.125
·ÎÁ´,spn,PEN_nonmeningitis_NM_PEN_NONMENINGITIS_NM,2,8
·ÎÁ´,spn,AMC_NM_LVX_NM,2,8
·ÎÁ´,spn,CRO_NM_CXM_NM_CEC_NM_MFX_NM_TCY_NM,1,4
·ÎÁ´,spn,VAN_NM,1,0
·ÎÁ´,spn,ERY_NM_CLI_NM_CLR_NM,0.25,1
·ÎÁ´,spn,AZM_NM,0.5,2
·ÎÁ´,spn,SXT_NM,0.5,4
·ÎÁ´,spn,CHL_NM,4,8
·ÎÁ´,spn,LNZ_NM,2,0
Á÷¸Ð,hin,AMP_NM,1,4
Á÷¸Ð,hin,AMC_NM,4,8
Á÷¸Ð,hin,CEC_NM_CLA_NM_CLR_NM,8,32
Á÷¸Ð,hin,CXM_NM,4,16
Á÷¸Ð,hin,TCY_NM_CHL_NM,2,8
Á÷¸Ð,hin,SXT_NM,0.5,4
Á÷¸Ð,hin,CRO_NM_LVX_NM,2,0
Á÷¸Ð,hin,MFX_NM,1,0
Á÷¸Ð,hin,AZM_NM,4,0
¿¨Ëû,bca_mos,AMC_NM,4,8
¿¨Ëû,bca_mos,CXM_NM,4,16
¿¨Ëû,bca_mos,TCY_NM_CHL_NM,2,8
¿¨Ëû,bca_mos,CLI_NM_SXT_NM,0.5,4
¿¨Ëû,bca_mos,CRO_NM_LVX_NM,2,0
¿¨Ëû,bca_mos,CLA_NM_CIP_NM_CLR_NM,1,0
¿¨Ëû,bca_mos,AZM_NM,0.25,0
½ðÆÏÂ½µË,sau_slu,FOX_NM_LNZ_NM,4,8
½ðÆÏÂ½µË,sau_slu,PEN_NM,0.125,0.25
½ðÆÏÂ½µË,sau_slu,OXA_NM_SXT_NM,2,4
½ðÆÏÂ½µË,sau_slu,VAN_NM,2,16
½ðÆÏÂ½µË,sau_slu,DAP_NM,1,0
½ðÆÏÂ½µË,sau_slu,TEC_NM_CHL_NM,8,32
½ðÆÏÂ½µË,sau_slu,GEN_NM_TCY_NM_MNO_NM_MIN_NM,4,16
½ðÆÏÂ½µË,sau_slu,AMK_NM,16,64
½ðÆÏÂ½µË,sau_slu,CLA_NM_AZM_NM_CLR_NM,2,8
½ðÆÏÂ½µË,sau_slu,ERY_NM,0.5,8
½ðÆÏÂ½µË,sau_slu,LVX_NM_CIP_NM_RIF_NM,1,4
½ðÆÏÂ½µË,sau_slu,MFX_NM,0.5,2
½ðÆÏÂ½µË,sau_slu,CLI_NM,0.5,4
CoNS,sep_sae_sai_sap_sc+_sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,PEN_NM,0.125,0.25
CoNS,sep_sae_sai_sap_sc+_sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,OXA_NM,0.25,0.5
CoNS,sep_sae_sai_sap_sc+_sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,VAN_NM,4,32
CoNS,sep_sae_sai_sap_sc+_sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,DAP_NM,1,0
