full_name	abbr_name	abbr_name2
Penicillin V oral	PEN_NM	PEN
Penicillin G meningitis	PEN_meningitis_NM	PE_m
Penicillin G nonmeningitis	PEN_nonmeningitis_NM	PE_nm
Oxacillin	OXA_NM	OXA
Ampicillin	AMP_NM	AMP
Piperacillin	PIP_NM	PIP
Amoxicillin/Clavulanic acid	AMC_NM	AMC
Ampicillin/Sulbactam	SAM_NM	SAM
Piperacillin/Tazobactam	TZP_NM	TZP
Cefoxitin	FOX_NM	FOX
Cefazolin	CZO_NM	CZO
Cefaclor	CEC_NM	CEC
Cefuroxime	CXM_NM	CXM
Ceftazidime	CAZ_NM	CAZ
Ceftazidime/Clavulanicacid	CCV_NM	CCV
Ceftazidime/Clavulanicacid	CLC_NM	CLC
Cefoperazone/Sulbactam	CSL_NM	CSL
Ceftriaxone	CRO_NM	CRO
Ceftriaxone meningitis	CRO_meningitis_NM	CRO_m
Cefotaxime	CTX_NM	CTX
Cefotaxime/Clavulanicacid	CTC_NM	CTC
Cefepime	FEP_NM	FEP
Aztreonam	ATM_NM	ATM
Ertapenem	ETP_NM	ETP
Imipenem	IPM_NM	IPM
Meropenem	MEM_NM	MEM
Vancomycin	VAN_NM	VAN
Teicoplanin	TEC_NM	TEC
Daptomycin	DAP_NM	DAP
Colistin	COL_NM	COL
Polymixin B	PB_NM	PB
Polymixin_B	POL_NM	POL
Gentamicin	GEN_NM	GEN
Tobramycin	TOB_NM	TOB
Amikacin	AMK_NM	AMK
Erythromycin	ERY_NM	ERY
Azithromycin	AZM_NM	AZM
Clarithromycin	CLA_NM	CLA
Clarithromycin	CLR_NM	CLR
Tetracycline	TCY_NM	TCY
Minocycline	MIN_NM	MIN
Minocycline	MNO_NM	MNO
Ciprofloxacin	CIP_NM	CIP
Levofloxacin	LVX_NM	LVX
Moxifloxacin	MFX_NM	MFX
Trimethoprim/Sulfamethoxazole	SXT_NM	SXT
Chloramphenicol	CHL_NM	CHL
Fosfomycin	FOS_NM	FOS
Rifampicin	RIF_NM	RIF
Clindamycin	CLI_NM	CLI
Linezolid	LNZ_NM	LNZ
Tigecycline	TGC_NM	TGC
Eravacycline	Eravacycline_NM	Eravacycline 
