org_code,eng_org,chn_org,eng_abbr,comment,
aba,Acinetobacter baumannii,鲍曼不动杆菌,A.baumannii,
ac-,Acinetobacter sp.,不动杆菌属,Acinetobacter sp.,
aca,Acinetobacter calcoaceticus,醋酸钙不动杆菌,A.calcoaceticus,
act,Actinomyces sp.,放线菌属,,
acv,Aeromonas caviae,豚鼠气单胞菌,A.caviae,
ade,Alcaligenes xylosoxidans ss. denitrificans,反硝化无色杆菌,A.xylosoxidans ss. denitrificans,无色杆菌属
aeh,Aeromonas hydrophila,嗜水气单胞菌,A.hydrophila,
afa,Alcaligenes faecalis (odorans),粪产碱杆菌,A.faecalis (odorans),
afl,Aspergillus flavus,黄曲霉菌,A.flavus,
afu,Aspergillus fumigatus,烟曲霉菌,A.fumigatus,
aha,Acinetobacter haemolyticus,溶血不动杆菌,A.haemolyticus,
ajo,Acinetobacter johnsonii,约氏不动杆菌,,不动杆菌
aju,Acinetobacter junii,琼氏不动杆菌,A.junii,
alc,Alcaligenes sp.,产碱杆菌属,Alcaligenes sp.,
alw,Acinetobacter lwoffii,洛非不动杆菌,A.lwoffii,
ame,Actinomyces meyeri,麦氏放线菌,,
ane,Actinomyces naeslundii,内氏放线菌,,厌氧菌
ani,Aspergillus niger,黑曲霉菌,A.niger,
aoi,Alloiococcus otitidis,耳炎差异球菌,A.otitidis,
aso,Aeromonas sobria,温和气单胞菌,A.sobria,气单胞菌属
asp,Aspergillus sp.,曲霉菌属,Aspergillus sp.,
ate,Aspergillus terreus,土曲霉菌,A.terreus,
atu,Rhizobium radiobacter,放射根瘤菌,R.radiobacter,
avi,Aerococcus viridans,浅绿气球菌,,
avl,Aspergillus versicolor,杂色曲霉,,
axy,Achromobacter xylosoxidans ss. xylosoxidans,木糖氧化产碱杆菌,A.xylosoxidans,
bbi,Prevotella bivia,二路普雷沃尔菌,,
bbr,,支气管炎鲍特菌,,
bca,Moraxella (Branh.) catarrhalis,卡他莫拉菌,M.catarrhalis,
bce,Bacillus cereus,蜡样芽孢杆菌,,芽孢杆菌
bde,Prevotella denticola,栖牙普雷沃菌,P.denticola,普雷沃菌属
bfr,Bacteroides fragilis,脆弱拟杆菌,,
bgl,Burkholderia gladioli,唐菖蒲伯克霍尔德菌,,
bme,Prevotella melaninogenica,产黑素普雷沃菌,,
bmt,Brucella melitensis,羊布氏杆菌,B.melitensis,
br-,Brucella sp.,布氏杆菌,,
bsl,Bacillus subtilis,枯草芽孢杆菌,B.subtilis,
bth,Bacteroides thetaiotaomicron,多形拟杆菌,,
cac,Delftia acidovorans,食酸代尔夫特菌,D.acidovorans,
caf,Corynebacterium afermentans,非发酵棒杆菌,,
caj,Campylobacter jejuni ss. Jejuni,空肠弯曲菌,,
cal,Candida albicans,白色念珠菌,C.albicans,
cba,Clostridium barati,巴氏梭菌,,
cbk,Citrobacter braakii,布氏柠檬酸杆菌,C.braakii,
ccl,Clostridium clostridiiforme,梭状梭菌,,
cco,Campylobacter coli,大肠弯曲杆菌,C.coli,
cd2,Corynebacterium urealyticum,解脲棒杆菌,,
