#
#
#
#
#
#
#
#
#
#
org_code	eng_org	chn_org	eng_abbr	comment	comment2
aba	Acinetobacter baumannii	±«Âü²»¶¯¸Ë¾ú	A.baumannii	
ac-	Acinetobacter sp.	²»¶¯¸Ë¾úÊô	Acinetobacter sp.	
aca	Acinetobacter calcoaceticus	´×Ëá¸Æ²»¶¯¸Ë¾ú	A.calcoaceticus	
act	Actinomyces sp.	·ÅÏß¾úÊô		
acv	Aeromonas caviae	ëàÊóÆøµ¥°û¾ú	A.caviae	
ade	Alcaligenes xylosoxidans ss. denitrificans	·´Ïõ»¯ÎŞÉ«¸Ë¾ú	A.xylosoxidans ss. denitrificans	ÎŞÉ«¸Ë¾úÊô
aeh	Aeromonas hydrophila	ÊÈË®Æøµ¥°û¾ú	A.hydrophila	
afa	Alcaligenes faecalis (odorans)	·à²ú¼î¸Ë¾ú	A.faecalis (odorans)	
afl	Aspergillus flavus	»ÆÇúÃ¹¾ú	A.flavus	
afu	Aspergillus fumigatus	ÑÌÇúÃ¹¾ú	A.fumigatus	
aha	Acinetobacter haemolyticus	ÈÜÑª²»¶¯¸Ë¾ú	A.haemolyticus	
ajo	Acinetobacter johnsonii	Ô¼ÊÏ²»¶¯¸Ë¾ú		²»¶¯¸Ë¾ú
aju	Acinetobacter junii	ÇíÊÏ²»¶¯¸Ë¾ú	A.junii	
alc	Alcaligenes sp.	²ú¼î¸Ë¾úÊô	Alcaligenes sp.	
alw	Acinetobacter lwoffii	Âå·Ç²»¶¯¸Ë¾ú	A.lwoffii	
ame	Actinomyces meyeri	ÂóÊÏ·ÅÏß¾ú		
ane	Actinomyces naeslundii	ÄÚÊÏ·ÅÏß¾ú		ÑáÑõ¾ú
ani	Aspergillus niger	ºÚÇúÃ¹¾ú	A.niger	
aoi	Alloiococcus otitidis	¶úÑ×²îÒìÇò¾ú	A.otitidis	
aso	Aeromonas sobria	ÎÂºÍÆøµ¥°û¾ú	A.sobria	Æøµ¥°û¾úÊô
asp	Aspergillus sp.	ÇúÃ¹¾úÊô	Aspergillus sp.	
ate	Aspergillus terreus	ÍÁÇúÃ¹¾ú	A.terreus	
atu	Rhizobium radiobacter	·ÅÉä¸ùÁö¾ú	R.radiobacter	
avi	Aerococcus viridans	Ç³ÂÌÆøÇò¾ú		
avl	Aspergillus versicolor	ÔÓÉ«ÇúÃ¹		
axy	Achromobacter xylosoxidans ss. xylosoxidans	Ä¾ÌÇÑõ»¯²ú¼î¸Ë¾ú	A.xylosoxidans	
bbi	Prevotella bivia	¶şÂ·ÆÕÀ×ÎÖ¶û¾ú		
bbr		Ö§Æø¹ÜÑ×±«ÌØ¾ú		
bca	Moraxella (Branh.) catarrhalis	¿¨ËûÄªÀ­¾ú	M.catarrhalis	
bce	Bacillus cereus	À¯ÑùÑ¿æß¸Ë¾ú		Ñ¿æß¸Ë¾ú
bde	Prevotella denticola	ÆÜÑÀÆÕÀ×ÎÖ¾ú	P.denticola	ÆÕÀ×ÎÖ¾úÊô
bfr	Bacteroides fragilis	´àÈõÄâ¸Ë¾ú		
bgl	Burkholderia gladioli	ÌÆİÅÆÑ²®¿Ë»ô¶ûµÂ¾ú		
bme	Prevotella melaninogenica	²úºÚËØÆÕÀ×ÎÖ¾ú		
bmt	Brucella melitensis	Ñò²¼ÊÏ¸Ë¾ú	B.melitensis	
br-	Brucella sp.	²¼ÊÏ¸Ë¾ú		
bsl	Bacillus subtilis	¿İ²İÑ¿æß¸Ë¾ú	B.subtilis	
bth	Bacteroides thetaiotaomicron	¶àĞÎÄâ¸Ë¾ú		
cac	Delftia acidovorans	Ê³Ëá´ú¶û·òÌØ¾ú	D.acidovorans	
caf	Corynebacterium afermentans	·Ç·¢½Í°ô¸Ë¾ú		
caj	Campylobacter jejuni ss. Jejuni	¿Õ³¦ÍäÇú¾ú		
cal	Candida albicans	°×É«ÄîÖé¾ú	C.albicans	
cba	Clostridium barati	°ÍÊÏËó¾ú		
cbk	Citrobacter braakii	²¼ÊÏÄûÃÊËá¸Ë¾ú	C.braakii	
ccl	Clostridium clostridiiforme	Ëó×´Ëó¾ú		
cco	Campylobacter coli	´ó³¦ÍäÇú¸Ë¾ú	C.coli	
cd2	Corynebacterium urealyticum	½âëå°ô¸Ë¾ú		
cdi	Citrobacter koseri (diversus)	¿ËÊÏÄûÃÊËá¸Ë¾ú	C.koseri (diversus)	
cdu	Candida dubliniensis	¶¼°ØÁÖÄîÖé¾ú		
cfr	Citrobacter freundii	¸¥ÊÏèÛéÚËá¸Ë¾ú	C.freundii	
cgl	Candida glabrata	¹â»¬ÄîÖé¾ú	C.glabrata	
cgm	Corynebacterium glutamicum	¹È°±Ëá°ô¸Ë¾ú		
cgu	Candida guilliermondii	¼ªÀûÃÉÄîÖé¾ú	C.guilliermondii	
ci2	Corynebacterium amycolatum	ÎŞÖ¦¾úËá°ô¸Ë¾ú		°ô¸Ë¾ú
cjk	Corynebacterium jeikeium	½ÜÊÏ°ô¸Ë¾ú	C.jeikeium	
ckr	Candida krusei	¿ËÈáÄîÖé¾ú	C.krusei	
cln	Cryptococcus laurentii	ÂŞÂ×ÒşÇò½ÍÄ¸	C.laurentii	
clp	Candida lipolytica	½âÖ¬¼ÙË¿½ÍÄ¸	C.lipolytica	
clt	Chryseomonas luteola	Ç³»Æ½ğÉ«µ¥°û¾ú		
clu	Candida lusitaniae	ÆÏÌÑÑÀ¼ÙË¿½ÍÄ¸	C.lusitaniae	
cmi	Corynebacterium minutissimum	¼«Ğ¡°ô¸Ë¾ú		
cml	Citrobacter amalonaticus	ÎŞ±û¶şËáÄûÃÊËá¸Ë¾ú	EBC	ÄûÃÊËá¸Ë¾úÊô
cne	Cryptococcus neoformans	ĞÂĞÍÒşÇò¾ú	C.neoformans	
cnp	Candida pelliculosa	½ÇÄ¤¼ÙË¿½ÍÄ¸		ÄîÖé¾ú
cop	Salmonella Copenhagen	¸ç±¾¹ş¸ùÉ³ÃÅÊÏ¾ú		
cor	Corynebacterium sp.	°ô×´¸Ë¾úÊô	Corynebacterium sp.	
cpa	Candida parapsilosis	½üÆ½»¬ÄîÖé¾ú	C.parapsilosis	
cpe	Clostridium perfringens	²úÆø¼ÔÄ¤Ëó¾ú		
cps	Candida kefyr	Èé¾Æ¼ÙË¿½ÍÄ¸	C.kefyr	
cra	Clostridium ramosum	¶àÖ¦Ëó¾ú		
cru	Candida rugosa	ÖåÕÛÄîÖé¾ú	FUNGUS	ÄîÖé¾úÊô
cry		ÒşÇò¾úÊô		
cse	Clostridium septicum	°ÜÑªËó¾ú		
cso	Clostridium sordellii	Ë÷ÊÏËó¾ú		
cst		ÎÆ´ø°ô¸Ë¾ú		
ctr	Candida tropicalis	ÈÈ´øÄîÖé¾ú	C.tropicalis	
cts	Comamonas testosteroni	ØºÍª¼Ùµ¥°û¾ú	C.testosteroni	
ctt	Clostridium tertium	µÚÈıËó¾ú		
cut	Candida utilis	²úëÃ¼ÙË¿½ÍÄ¸¾ú	C.utilis	
cyo	Citrobacter youngae	ÑîÊÏèÛéÚËá¸Ë¾ú	C.youngae	
dxe	"Streptococcus, Group D"	DÈºÁ´Çò¾ú	S.Group D	
eae	Enterobacter aerogenes	²úÆø³¦¸Ë¾ú	E.aerogenes	
eag	Pantoea agglomerans	³ÉÍÅ·º¾ú 	P.agglomerans	
eam	Enterobacter amnigenus	ºÓÉú³¦¸Ë¾ú	E.amnigenus	
eav	Enterococcus avium	Äñ³¦Çò¾ú	E.avium	
eca	Enterococcus casseliflavus	Ç¦»Æ³¦Çò¾ú	CatNeg	³¦Çò¾úÊô
ecg	Enterobacter cancerogenus (taylorae)	Éú°©³¦¸Ë¾ú		
ecl	Enterobacter cloacae	Òõ¹µ³¦¸Ë¾ú	E.cloacae	
eco	Escherichia coli	´ó³¦°£Ï£¾ú	E.coli	
edu	Enterococcus durans	ÄÍ¾Ã³¦Çò¾ú	CatNeg	³¦Çò¾úÊô
efa	Enterococcus faecalis	·à³¦Çò¾ú	E.faecalis	
efm	Enterococcus faecium	Êº³¦Çò¾ú	E.faecium	
ega	Enterococcus gallinarum	ğÈ¼¦³¦Çò¾ú 	E.gallinarum	
ele	Eubacterium lentum	³Ù»ºÕæ¸Ë¾ú		
era	Enterococcus raffinosus	ÃŞ×ÓÌÇ³¦Çò¾ú	CatNeg	³¦Çò¾úÊô
erh	Erysipelothrix rhusiopathiae	ºì°ßµ¤¶¾Ë¿¾ú	E.rhusiopathiae	
esa	Enterobacter sakazakii	ÚæÆé³¦¸Ë¾ú	E.sakazakii	
eta	Edwardsiella tarda	³Ù¶Û°®µÂ»ª¾ú	E.tarda	
fgl		Õ³½ğ»Æ¸Ë¾ú		
fin	Chryseobacterium indologenes	²úßÅßá½ğ»Æ¸Ë¾ú	C.indologenes	
fme	Elizabethkingia meningosepticum	ÄÔÄ¤Ñ×°ÜÑªÒÁÀöÉ¯°×¸Ë¾ú	E.meningosepticum	
fne	Fusobacterium necrophorum ss. necrophorum	»µËÀËó¸Ë¾ú		
fnu	Fusobacterium nucleatum ss. Nucleatum	¾ßºËËó¸Ë¾ú		
fod	Myroides odoratum	ÏãÎ¶¾úÊô	M.odoratum	
fu-	Fusobacterium sp.	Ëó¾úÊô		
fus	Fusarium sp.	Á­µ¶¾úÊô	Fusarium sp.	
geo	Geotrichum sp.	µØË¿¾úÊô	Geotrichum sp.	
gmo	Gemella morbillorum	ÂéÕîÂÏÉúÇò¾ú		
gva	Gardnerella vaginalis	ÒõµÀ¼ÓµÂÄÉ¾ú		
hin	Haemophilus influenzae	Á÷¸ĞÊÈÑª¸Ë¾ú	H.influenzae	
hpi	Haemophilus parainfluenzae	¸±Á÷¸ĞÊÈÑª¸Ë¾ú	H.parainfluenzae	
hpy	Helicobacter pylori	ÓÄÃÅÂİ¸Ë¾ú	H.pylori	
kkr	Kocuria kristinae	¿ËÊÏ¿â¿Ë¾ú		
kor	Raoultella ornitholytica	½âÄñ°±ËáÀ­ÎÚ¶û¾ú		
kox	Klebsiella oxytoca	²úËá¿ËÀ×²®¾ú	K.oxytoca	
koz	Klebsiella pneumoniae ss. ozaenae	·ÎÑ×¿ËÀ×²®¾ú³ô±ÇÑÇÖÖ	K.pneumoniae ss.ozaenae	
kpl	Raoultella planticola	Ö²ÉúÀ­ÎÚ¶û¾ú	R.planticola	
kpn	Klebsiella pneumoniae ss. pneumoniae	·ÎÑ×¿ËÀ×²®¾ú	K.pneumoniae	
kva	Kocuria varians	±äÒì¿â¿Ë¾ú		
lad	Leclercia adecarboxylata	·ÇÍÑôÈÀÕ¾ú	L.adecarboxylata	
lap	Lactobacillus acidophilus	ÊÈËáÈéËá¸Ë¾ú		
lmo	Listeria monocytogenes	²úµ¥ºËÀîË¹ÌØ¾ú	L.monocytogenes	
mab	Mycobacterium chelonae ss. abscessus			
