#
#
#
#
#
#
#
#
#
#
code	spec_chs	spec_eng
ab	Abdominal fluid 腹水	Abdominal fluid
ac	"Abscess, perirectal"	"Abscess, perirectal"
ad	"Abscess, abdominal"	"Abscess, abdominal"
am	Amniotic Fluid 羊水	Amniotic fluid
ar	Arm 手臂	Arm
as	Abscess 脓肿	Abscess
at	Aspirate 吸气	Aspirate
au	Autopsy	Autopsy
ax	Axilla 腋窝	Axilla
ba	Broncho-Alveolar Lavage Broncho-Alveolar Lavage	Broncho-alveolar lavage
bi	Bile 胆汁	Bile
bl	Blood 血	Blood
bm	Bone marrow 骨髓	Bone marrow
bn	Brain 脑	Brain
bo	Bone 骨	Bone
br	Bronchial 支气管	Bronchial
bs	Burns	Burns
bt	Breast 胸	Breast
bu	Bursa	Bursa
bx	Biopsy 活组织切片	Biopsy
ca	Catheter 导尿管	Catheter
cc	"Catheter, Central 主要的导尿管"	"Catheter, central"
co	Conjunctiva 结膜	Conjunctiva
cp	"Catheter, Permanent"	"Catheter, permanent"
cr	Cornea	Cornea
cs	Catheter site	Catheter site
cv	"Urine, Clean-Voided 尿,清洁-无效的"	"Urine, clean-voided"
cx	Cervix 子宫颈	Cervix
cy	Cyst	Cyst
de	"Abscess, dental"	"Abscess, dental"
di	Dialysis fluid 透析液	Dialysis fluid
dr	Drainage 排泄物	Drainage
du	Duodenum	Duodenum
ea	Ear 耳朵	Ear
ee	Empyema	Empyema
em	"Ear, Middle 中耳"	"Ear, middle"
en	Environmental 环境	Environmental
eo	"Ear, Outer 外耳"	"Ear, outer"
ep	"Empyema, pleural"	"Empyema, pleural"
es	"Empyema, subdural"	"Empyema, subdural"
ex	"Quality control, external 外部质量控制"	"Quality control, external"
ey	Eyes 眼	Eyes
fb	Foreign body	Foreign body
fi	Fistula 瘘管	Fistula
fl	Fluid 液体	Fluid
fn	"Aspirate, Fine-Needle 吸气,细针"	"Aspirate, fine-needle"
fo	Food 食物	Food
ft	Foot	Foot
fv	"Urine, First-voided"	"Urine, first-voided"
ga	Gastric fluid 胃液	Gastric fluid
gf	"Genital, Female 女性生殖器"	"Genital, female"
gl	Gland	Gland
gm	"Genital, Male 男性生殖器"	"Genital, male"
gn	Genital 生殖器	Genital
ha	Hand 手	Hand
he	Heart 心脏	Heart
hp	"Heart valve, prosthetic"	"Heart valve, prosthetic"
hr	Hair	Hair
hv	Heart valve 心脏真空管	Heart valve
is	Isolate	Isolate
iu	Intra-uterine device	Intra-uterine device
jt	"Joint 接合处,关节"	Joint
ki	Kidney	Kidney
la	Laboratory 实验室	Laboratory
li	Liver 肝脏	Liver
ln	Lymph node	Lymph node
lu	Lung 肺部	Lung
mb	Mini-BAL	Mini-BAL
mc	Meconium	Meconium
me	Mediastinum	Mediastinum
mi	Breast Milk 乳汁	Breast milk
mo	Mouth 口	Mouth
mr	Screen for MRSA 筛选MRSA	Screen for MRSA
mu	Muscle 肌肉	Muscle
nl	Nail	Nail
no	Nose 鼻	Nose
np	Nasopharynx	Nasopharynx
og	Organ 嗓子	Organ
ot	Other 其他	Other
pb	"Prosthesis, bone"	"Prosthesis, bone"
pc	Protected brush catheter	Protected brush catheter
pd	Pericardiac fluid	Pericardial fluid
pf	Pleural fluid 胸膜液	Pleural fluid
pl	Placenta 胎盘	Placenta
pm	Pacemaker	Pacemaker
pn	Pancreas	Pancreas
pr	"Prosthesis 修复物(如假眼,假耳等)"	Prosthesis
ps	Pus 脓	Pus
pt	"Abscess, peritonsillar"	"Abscess, peritonsillar"
pv	"Prosthesis, vascular"	"Prosthesis, vascular"
qc	Quality Control 质控	Quality control
re	Rectal 直肠	Rectal
rl	"Respiratory, Lower 呼吸,较低"	"Respiratory, lower"
rp	Respiratory 呼吸	Respiratory
rs	Research 研究	Research
ru	"Respiratory, Upper 呼吸,上部"	"Respiratory, upper"
sb	Swab 药签	Swab
sc	Screening 放映	Screening
se	Secretion 分泌物	Secretion
sf	Cerebrospinal fluid 脑脊液	Cerebrospinal fluid
sh	"Prosthesis, shunt"	"Prosthesis, shunt"
si	"Sinus 窦,穴"	Sinus
sk	Skin 皮肤	Skin
sm	Semen 精液	Semen
sp	"Sputum 唾液,痰"	Sputum
st	Stool 大便	Stool
sw	"Wound, Surgical 外科手术伤口"	"Wound, surgical"
ta	Tracheal Aspirate 导气管	Tracheal aspirate
th	Throat 咽喉	Throat
ti	Tissue 组织	Tissue
tn	Tonsils	Tonsils
tr	Tracheal 气管	Tracheal
ua	"Urine, Suprapubic aspirate"	"Urine, suprapubic aspirate"
ub	"Urine, Bladder 尿,膀胱"	"Urine, bladder"
uc	"Urine, Catheter 尿,导尿管"	"Urine, catheter"
ud	"Ulcer, Decubitis"	"Ulcer, decubitis"
ue	Urethra 尿道	Urethra
ui	"Ulcer, Internal 内部溃疡"	"Ulcer, internal"
uk	"Urine, Kidney"	"Urine, kidney"
ul	Ulcer 溃疡	Ulcer
um	Umbilical Cord 脐带	Umbilical cord
un	Unknown 不明	Unknown
uo	"Urine, Ostomy"	"Urine, nephrostomy"
ur	Urine 尿	Urine
us	Umbilicus	Umbilicus
ut	Uterus	Uterus
uu	"Urine, Unknown source"	"Urine, unknown source"
ux	"Ulcer, External 外部溃疡"	"Ulcer, external"
uz	"Urine, Non-catheterized"	"Urine, non-catheterized"
va	Vagina 阴道	Vagina
vr	Screen for VRE 筛选VRE	Screen for VRE
wa	Water 水	Water
wd	Wound 创伤口	Wound
